,Method,M,starting_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
21,drpm,1.0,0.75,4,,5025.752251656264,274.8370580673218,1.7008187114849562,0,12.192307692307692,6,2,1.4945079457601231
22,drpm,1.0,0.9,3,,1368.5438863148336,144.52039098739624,1.7059281027316442,2,6.5576923076923075,21,1,1.6792814858013652
23,drpm,1.0,0.9,4,,3358.937512661618,224.91624426841736,1.6990994782680322,0,10.115384615384615,18,2,1.4945079457601231
24,drpm,10.0,0.0,3,,3860.8377979257602,276.3148350715637,1.7144796553617014,0,11.26923076923077,6,2,1.4945079457601231
25,drpm,10.0,0.0,4,,666.3567327997738,218.51117491722107,1.6960116187858902,5,10.442307692307692,27,1,1.4994370172197717
26,drpm,10.0,0.1,3,,2058.551082441543,265.9310700893402,1.7309699106977152,0,10.884615384615385,6,2,1.6208016710844153
27,drpm,10.0,0.1,4,,460.96432412543606,219.0057339668274,1.6947787891662192,1,10.25,9,1,1.4994370172197717
28,drpm,10.0,0.25,3,,166.29034566418926,205.8956699371338,1.7107990979346432,0,9.0,6,2,1.6792814858013652
29,drpm,10.0,0.25,4,,1740.484475846317,232.07511615753174,1.707957750958749,0,11.173076923076923,4,2,1.6792814858013652
30,drpm,10.0,0.5,3,,15864.755197131844,407.7397918701172,1.702400035589913,0,14.653846153846153,6,2,1.4945079457601231
31,drpm,10.0,0.5,4,,71329.79035458343,293.72758412361145,1.7043682000688143,0,12.923076923076923,4,2,1.4945079457601231
32,drpm,10.0,0.75,3,,8571.086802894553,342.86822867393494,1.7174989831850913,0,12.807692307692308,8,2,1.6208016710844153
33,drpm,10.0,0.75,4,,861.8535139891859,213.01281785964966,1.6967534211464237,5,10.48076923076923,27,1,1.6792814858013652
34,drpm,10.0,0.9,3,,328.52863993976763,233.4498097896576,1.7082811538554383,0,9.865384615384615,6,2,1.6208016710844153
35,drpm,10.0,0.9,4,,482.02607786139197,216.87962412834167,1.6910779024694667,0,10.096153846153847,6,2,1.6792814858013652
36,drpm,100.0,0.0,3,,356.69275857177763,205.34612202644348,1.6920273119796765,0,9.807692307692308,6,2,1.478352505537838
37,drpm,100.0,0.0,4,,1557.189450225765,172.8715100288391,1.688652752326418,0,10.73076923076923,4,2,1.478352505537838
38,drpm,100.0,0.1,3,,-104.66248195160352,159.70308089256287,1.706155107850123,2,8.192307692307692,14,1,1.478352505537838
39,drpm,100.0,0.1,4,,1333.4763825743503,172.1103880405426,1.6890230254352427,0,10.461538461538462,6,2,1.4945079457601231
40,drpm,100.0,0.25,3,,-166.09729947920317,147.26074504852295,1.7001261945834731,0,7.6923076923076925,6,2,1.6792814858013652
41,drpm,100.0,0.25,4,,1143.6269587254667,159.9076988697052,1.6898470260208522,0,10.346153846153847,5,2,1.6792814858013652
42,drpm,100.0,0.5,3,,-120.89423751169358,159.98495388031006,1.7054313856252277,4,8.211538461538462,22,1,1.6792814858013652
43,drpm,100.0,0.5,4,,34742.59150374996,226.80322527885437,1.7063302851742312,0,11.942307692307692,4,2,1.4945079457601231
44,drpm,100.0,0.75,3,,89.64979023701162,157.8346610069275,1.7027504389340304,2,8.01923076923077,25,1,1.541464928847895
45,drpm,100.0,0.75,4,,4218.558514853704,173.95781183242798,1.6934639695737927,0,10.76923076923077,4,2,1.478352505537838
46,drpm,100.0,0.9,3,,36355.761222975634,414.0062508583069,1.710676858833765,0,15.0,6,2,1.6792814858013652
47,drpm,100.0,0.9,4,,910.1221568266316,161.02878999710083,1.6764788683089358,0,10.26923076923077,4,2,1.2769576970824246
