,Method,M,starting_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
29,drpm,10.0,0.25,4,-2121.4501440562035,3935.073537952829,45.08078193664551,1.486965925603292,0,1.0,34,34,1.7529196359117911
30,drpm,10.0,0.5,3,-1349.1326304883503,2683.1345502110876,26.932157278060913,1.2784643024834037,0,1.0,34,34,1.7529196359117911
31,drpm,10.0,0.5,4,-1547.8860762504307,3024.464409566387,41.658801317214966,1.325392914944173,0,1.0,34,34,1.7529196359117911
32,drpm,10.0,0.75,3,-1330.2974359055152,2646.3738555409323,26.758955001831055,1.2623498610202701,0,1.0,34,34,1.7529196359117911
33,drpm,10.0,0.75,4,-1465.4412741564727,2886.859151480226,34.72380971908569,1.306414135917973,1,1.0576923076923077,34,1,1.7529196359117911
34,drpm,10.0,0.9,3,-1619.9840026633087,3225.309793591811,27.90653705596924,1.3603477010628382,0,1.0,34,34,1.7529196359117911
35,drpm,10.0,0.9,4,-1592.9237765394453,3133.0503966973856,40.81392526626587,1.3333897287398244,0,1.0192307692307692,34,4,1.7529196359117911
36,drpm,100.0,0.0,3,-1404.7636515330355,2790.3887903361874,30.19862127304077,1.2883599950281035,0,1.0,34,34,1.7529196359117911
37,drpm,100.0,0.0,4,-1612.5007162587729,3093.4354173067572,41.5994758605957,1.3253471823001615,0,1.0769230769230769,34,2,1.7529196359117911
38,drpm,100.0,0.1,3,-1717.559729053763,3420.717804060253,27.950809001922607,1.3979043988681914,0,1.0,34,34,1.7529196359117911
39,drpm,100.0,0.1,4,-1378.7259042357655,2691.7729925963317,41.0229697227478,1.257781533136577,0,1.0,34,34,1.7529196359117911
40,drpm,100.0,0.25,3,-1506.0678905922482,2996.694104488859,27.121695041656494,1.3292540518928977,0,1.0,34,34,1.7529196359117911
41,drpm,100.0,0.25,4,,3033.2079040044514,27.3348069190979,1.2932116043158484,1,1.1923076923076923,34,1,1.7529196359117911
42,drpm,100.0,0.5,3,-1910.7287343570697,3757.104799177442,29.630590200424194,1.4282210418095393,0,1.0,34,34,1.7529196359117911
43,drpm,100.0,0.5,4,-2357.086107831392,3711.4807036257575,27.061015844345093,1.45690546946904,1,1.0576923076923077,34,1,1.7529196359117911
44,drpm,100.0,0.75,3,-1250.6295270236076,2484.5374771320544,28.277414321899414,1.2512923327992693,0,1.0,34,34,1.7529196359117911
45,drpm,100.0,0.75,4,-1334.843769860786,2639.478378892468,24.36615800857544,1.2607004151938745,1,1.0769230769230769,34,1,1.7529196359117911
46,drpm,100.0,0.9,3,-1220.710013990301,2426.824208220378,27.414714813232422,1.2684190162663376,0,1.0,34,34,1.7529196359117911
47,drpm,100.0,0.9,4,-2190.7392540679284,3947.174838501003,34.776758909225464,1.4864428566336032,1,1.1153846153846154,34,1,1.7529196359117911
