,Method,M,starting_alpha,alpha_0,eta1_0,phi1_0,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
27,drpm,10.0,0.1,False,False,False,4,-1273.6011489355944,2486.335455497932,38.77438807487488,1.2269603903830248,0,1.0,34,34,1.7529196359117911
28,drpm,10.0,0.25,False,False,False,3,-1200.049740237571,2378.1456176283905,26.01960825920105,1.2322921131030822,0,1.0,34,34,1.7529196359117911
29,drpm,10.0,0.25,False,False,False,4,-1299.3963251466387,2537.2057115119724,44.04243087768555,1.2123245010734611,0,1.0,34,34,1.7529196359117911
30,drpm,10.0,0.5,False,False,False,3,-1245.4753858281906,2449.7003350521395,42.27964901924133,1.2032815348689627,0,1.0,34,34,1.7529196359117911
31,drpm,10.0,0.5,False,False,False,4,-1229.7825697410747,2424.428999542215,26.77809500694275,1.2446891907364361,0,1.0,34,34,1.7529196359117911
32,drpm,10.0,0.75,False,False,False,3,-1199.1314592622898,2376.646380524751,25.57607078552246,1.2197966073823736,0,1.0,34,34,1.7529196359117911
33,drpm,10.0,0.75,False,False,False,4,-1224.9004751826797,2416.7340781562593,26.296122312545776,1.2183221661034747,0,1.0,34,34,1.7529196359117911
34,drpm,10.0,0.9,False,False,False,3,-1200.018542428772,2378.396814356585,26.236765146255493,1.2176039546650752,0,1.0,34,34,1.7529196359117911
35,drpm,10.0,0.9,False,False,False,4,-1202.7657428311613,2379.5305444791434,21.706079244613647,1.242837604589072,0,1.0,34,34,1.7529196359117911
36,drpm,100.0,0.0,False,False,False,3,-1260.3261889212722,2472.0502016834675,46.505847692489624,1.2263361395400465,0,1.0,34,34,1.7529196359117911
37,drpm,100.0,0.0,False,False,False,4,-1303.6017515404108,2540.170773196313,36.716511964797974,1.2403662326726355,0,1.0,34,34,1.7529196359117911
38,drpm,100.0,0.1,False,False,False,3,-1269.7879382743442,2485.8245281780573,46.12739300727844,1.2065200226979256,0,1.0,34,34,1.7529196359117911
39,drpm,100.0,0.1,False,False,False,4,-1214.2125727400373,2405.222330636206,24.035046815872192,1.2522589020236337,2,1.2307692307692308,34,1,1.7529196359117911
40,drpm,100.0,0.25,False,False,False,3,-1270.2337340576973,2489.717927268058,46.31223487854004,1.2093085582356637,0,1.0,34,34,1.7529196359117911
41,drpm,100.0,0.25,False,False,False,4,-1230.08349291124,2423.6790340301527,27.194915056228638,1.238650266338256,1,1.3076923076923077,34,1,1.7529196359117911
42,drpm,100.0,0.5,False,False,False,3,-1213.1949098588432,2399.5890739383794,30.214282035827637,1.2254917740877298,0,1.0,34,34,1.7529196359117911
43,drpm,100.0,0.5,False,False,False,4,-1233.1178557784312,2394.7490201491755,30.1689133644104,1.2563056496763725,1,1.3653846153846154,34,1,1.7529196359117911
44,drpm,100.0,0.75,False,False,False,3,-1198.3863642483761,2375.8906829875577,23.511025190353394,1.2314748349121394,0,1.0,34,34,1.7529196359117911
45,drpm,100.0,0.75,False,False,False,4,-1247.0251035477452,2440.3187690948935,30.48576307296753,1.2225652138537313,2,1.1538461538461537,34,1,1.6792814858013652
46,drpm,100.0,0.9,False,False,False,3,-1219.5591722410368,2409.111617661617,31.7399480342865,1.2337397858318517,0,1.0,34,34,1.7529196359117911
47,drpm,100.0,0.9,False,False,False,4,-1257.2965306883523,2434.176547104097,32.153934955596924,1.2159302892324582,1,1.0961538461538463,34,1,1.7529196359117911
