IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_co,AQ_nh3,AQ_nox,AQ_no2,AQ_so2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,LA_soil_use,log_pm25,Week
600,45.306013,9.48526286,2021-10-08,80,34.142857142857146,13.428571428571429,0.2553428571428571,,57.835714285714296,31.42428571428572,1.1796714285714285,13.178571428571429,1.5784285714285715,3.34,E,0.004091122,0,100928.57142857143,10030714.285714284,82.4,91.34857142857145,99.81,3.0138571428571432,5.899,E,1306.0,12.96,,,,0.0,,0.0,0.0,216.5,88.35428571428572,1.5510000000000002,2.378857142857143,112,,2.6692103677859462,40
600,45.306013,9.48526286,2021-10-15,80,63.285714285714285,24.428571428571427,0.4880857142857143,,87.92285714285715,46.96857142857143,1.2482857142857142,12.425714285714283,0.9755,2.651,E,0.022941652,0,100957.14285714286,9081285.714285716,84.82,94.73285714285716,99.91,1.8477142857142856,5.249,E,880.7,14.27,,,,0.0,,0.0,0.0,216.5,88.86142857142859,1.519,2.358142857142857,112,,3.2358734012367716,41
600,45.306013,9.48526286,2021-10-22,80,48.142857142857146,19.571428571428573,0.5244142857142857,,88.98428571428572,39.178333333333335,1.436642857142857,11.278285714285715,1.1781,2.158,E,0.012816782,0,101142.85714285714,8438857.142857144,84.31,94.46428571428572,99.86,2.2475714285714288,5.346,E,804.6,14.36,,,,0.0,,0.0,0.0,216.5,89.36857142857143,1.505,2.3488571428571428,112,,3.0239031505206873,42
600,45.306013,9.48526286,2021-10-29,80,25.6,14.0,0.4601142857142857,,64.7,31.501428571428573,1.0976571428571429,10.017285714285714,1.8295857142857144,5.309,E,0.82517486,1,99871.42857142857,4274971.428571428,88.75,96.96857142857142,99.76,3.1518571428571427,9.899,E,781.0,13.77,,,,0.0,,0.0,0.0,216.5,89.89428571428572,1.491,2.339714285714286,112,,2.70805020110221,43
600,45.306013,9.48526286,2021-11-05,80,29.142857142857142,14.0,0.6059571428571429,,95.72142857142856,38.92571428571428,1.6107142857142855,8.208714285714285,1.0587285714285717,2.233,E,0.112281552,0,101114.28571428572,5769142.857142857,83.13,95.29714285714286,99.85,2.1362857142857146,5.727,E,634.5,12.96,,,,0.0,,0.0,0.0,216.5,90.43571428571428,1.4770000000000003,2.3302857142857145,112,,2.70805020110221,44
600,45.306013,9.48526286,2021-11-12,80,31.0,13.0,0.6761857142857143,,60.192857142857136,29.777142857142856,1.3719571428571429,9.886571428571427,1.2412285714285716,3.502,E,0.6443121,1,100800.0,3610200.0,91.5,97.72285714285714,99.96,2.578428571428572,7.382,E,660.8,14.15,,,,0.0,,0.0,0.0,216.5,90.99,1.4622857142857142,2.321,112,,2.6390573296152584,45
600,45.306013,9.48526286,2021-11-19,80,23.285714285714285,10.0,0.7339142857142857,,72.37714285714286,29.72,1.347457142857143,7.405714285714287,1.2701428571428572,2.728,E,0.28688305,1,100771.42857142857,3577557.1428571427,88.7,97.23000000000002,99.98,2.576571428571429,6.308,E,901.0,19.8,,,,0.0,,0.0,0.0,216.5,91.54999999999998,1.448,2.3120000000000003,112,,2.3978952727983707,46
600,45.306013,9.48526286,2021-11-26,80,24.142857142857142,10.714285714285714,0.3589285714285714,,70.76428571428572,35.870000000000005,1.2368285714285714,5.106571428571429,1.952,4.106,W,0.149187568,0,99035.71428571428,4669000.0,77.61,93.32714285714285,99.64,3.834428571428571,9.021,W,1113.0,14.07,,,,0.0,,0.0,0.0,216.5,92.12714285714286,1.434,2.302857142857143,112,,2.46080909820894,47
600,45.306013,9.48526286,2021-12-03,80,52.142857142857146,28.571428571428573,0.6017714285714286,,134.78142857142856,46.01285714285715,1.893528571428572,2.016828571428571,1.532185714285714,2.948,W,0.24747551,0,99630.0,4350057.142857143,86.61,95.45,99.8,2.909714285714286,6.521,W,549.6,12.6,,,,0.0,,0.0,0.0,216.5,92.71,1.419285714285714,2.293714285714286,112,,3.386808644210056,48
600,45.306013,9.48526286,2021-12-10,80,58.57142857142857,34.57142857142857,0.6589142857142857,,150.14142857142858,53.57285714285714,2.189142857142857,1.5721571428571433,1.6158571428571429,2.978,NW,0.0632463839999999,0,100965.71428571428,4324428.571428572,89.12,96.43142857142855,99.66,2.8057142857142856,6.527,W,297.4,14.87,,,,0.0,,0.0,0.0,216.5,93.30142857142856,1.4052857142857142,2.285,112,,3.5715427474093944,49
600,45.306013,9.48526286,2021-12-17,80,48.85714285714285,22.571428571428573,0.6839142857142857,,99.43714285714286,43.19333333333333,1.477428571428571,2.554,1.5780428571428573,4.201,W,0.00235379,0,101400.0,3804285.714285714,92.03,97.68571428571428,99.78,3.024285714285715,7.578,E,472.5,14.26,,,,0.0,,0.0,0.0,216.5,93.90285714285714,1.3998571428571434,2.281857142857143,112,,3.1600353248452673,50
600,45.306013,9.48526286,2021-12-24,80,50.71428571428572,28.0,0.8130285714285714,,74.56857142857143,34.597142857142856,1.4407142857142856,4.230142857142857,1.1774857142857142,3.126,W,0.07251755,0,99995.71428571428,2971142.8571428573,94.06,98.2242857142857,99.96,2.260857142857143,6.916,W,298.3,19.89,,,,0.0,,0.0,0.0,216.5,94.50714285714284,1.3984285714285714,2.281,112,,3.367295829986474,51
609,45.4982271,9.55623226,2021-01-01,108,23.571428571428573,17.142857142857142,,,40.21142857142858,26.735714285714284,,1.8927714285714283,1.1536285714285717,2.681,S,0.737085,1,98535.71428571428,1451057.142857143,93.21,97.66285714285716,99.58,2.4411428571428573,6.383,SE,507.6,18.41,,,,0.0,,0.0,0.0,755.9857142857144,102.29999999999998,1.7759999999999998,1.8480000000000003,231,,2.8982769374032777,53
609,45.4982271,9.55623226,2021-01-08,108,45.66666666666666,32.166666666666664,,,78.68666666666667,42.152,,0.0436,1.5054285714285716,3.378,W,0.00286483,0,99141.42857142857,4257571.428571428,83.84,92.43,97.44,2.750142857142857,7.256,S,502.5,14.74,,,,0.0,,0.0,0.0,757.9571428571428,102.1857142857143,1.769,1.8372857142857144,231,,3.5015453554964373,1
609,45.4982271,9.55623226,2021-01-15,108,66.57142857142857,49.0,,,85.27,37.16,,1.2515,0.9020142857142855,3.234,E,0.125512762,0,99515.71428571428,3571428.571428572,89.09,95.72,99.04,1.4410142857142856,6.334,E,567.6,12.48,,,,0.0,,0.0,0.0,761.5857142857143,102.02857142857142,1.7662857142857142,1.8337142857142856,231,,3.912023005428146,2
609,45.4982271,9.55623226,2021-01-22,108,23.428571428571427,16.714285714285715,,,56.85285714285715,33.41571428571429,,2.4842428571428568,1.6571428571428573,3.972,SW,0.3504969,0,98182.85714285714,5232000.0,79.57,92.22857142857144,99.1,3.573142857142858,8.14,SW,1310.0,21.48,,,,0.0,,0.0,0.0,766.7285714285714,101.7857142857143,1.769,1.8397142857142847,231,,2.8743714165497236,3
609,45.4982271,9.55623226,2021-01-29,108,37.833333333333336,27.666666666666668,,,61.656666666666666,31.94,,4.427142857142857,1.1679142857142857,2.418,E,0.148385,1,98247.14285714286,4708571.428571428,88.49,97.42571428571428,99.74,2.142714285714286,6.332,E,484.3,12.78,,,,0.0,,0.0,0.0,773.2857142857141,101.47142857142856,1.7715714285714286,1.845857142857143,231,,3.355735007585398,4
609,45.4982271,9.55623226,2021-02-05,108,27.83333333333333,18.714285714285715,,,44.88,27.71857142857143,,6.145571428571429,1.4960571428571428,4.474,E,0.6779390000000001,1,98082.85714285714,4186685.714285714,86.14,97.02,99.54,2.745428571428572,8.211,E,902.6,16.56,,,,0.0,,0.0,0.0,781.0714285714284,101.11428571428571,1.7741428571428572,1.851857142857143,231,,2.9813435361018916,5
609,45.4982271,9.55623226,2021-02-12,108,44.57142857142857,31.142857142857142,,,41.65571428571429,27.936714285714285,,2.2437,1.5897,4.051,W,0.019224552,0,100410.0,7487714.285714285,77.1,90.74285714285712,99.22,2.802285714285714,7.098,SW,1425.0,14.34,,,,0.0,,0.0,0.0,789.9571428571428,100.7,1.7794285714285714,1.861142857142857,231,,3.4701902531491067,6
609,45.4982271,9.55623226,2021-02-19,108,77.71428571428571,52.285714285714285,,,63.17000000000001,32.848571428571425,,8.508714285714287,1.1235,1.825,W,0.000215499,0,100564.28571428572,8337285.714285715,82.59,95.13857142857144,99.03,1.590714285714286,3.684,SW,748.0,11.62,,,,0.0,,0.0,0.0,799.7571428571428,100.28571428571428,1.800857142857143,1.8907142857142856,231,,3.975668270588502,7
609,45.4982271,9.55623226,2021-02-26,108,59.285714285714285,33.857142857142854,,,54.70857142857143,34.8,,7.922142857142857,1.2934428571428571,3.93,W,7.1446e-05,0,100470.0,11702857.142857144,83.21,92.24714285714286,98.34,1.8717142857142857,5.928,W,1708.0,13.0,,,,0.0,,0.0,0.0,810.3714285714286,99.82142857142856,1.8247142857142853,1.9235714285714287,231,,3.5512580762378887,8
609,45.4982271,9.55623226,2021-03-05,108,43.85714285714285,30.285714285714285,,,30.322857142857146,24.42714285714285,,6.824,1.4339571428571427,4.697,E,0.064317,0,99522.85714285714,11096142.857142856,84.11,92.46285714285716,98.9,2.206285714285714,7.84,E,1649.0,12.3,,,,0.0,,0.0,0.0,821.6,99.30999999999996,1.8487142857142853,1.9562857142857144,231,,3.4431615807611875,9
609,45.4982271,9.55623226,2021-03-12,108,29.428571428571427,20.285714285714285,,,22.97714285714286,17.547428571428572,,7.239714285714286,2.0786,6.095,S,0.0356935,0,98902.85714285714,13822857.142857144,72.53,87.79142857142857,98.91,3.926,8.9,SW,3203.0,14.37,,,,0.0,,0.0,0.0,833.3285714285714,98.74714285714286,1.8738571428571429,1.9928571428571429,231,,3.0580361568901457,10
609,45.4982271,9.55623226,2021-03-19,108,28.857142857142858,22.571428571428573,,,25.880000000000003,21.20142857142857,,6.290857142857143,1.3359142857142856,2.461,SE,0.03754919,0,99407.14285714286,15331428.57142857,76.81,89.57857142857142,98.99,2.125142857142857,5.062,E,2403.0,12.12,,,,0.0,,0.0,0.0,845.4285714285716,98.21428571428572,1.9048571428571428,2.0505714285714283,231,,3.1600353248452673,11
609,45.4982271,9.55623226,2021-03-26,108,50.0,33.714285714285715,,,28.402857142857147,24.1,,13.111428571428572,1.2374285714285715,2.295,W,0.0186906799999999,0,100200.0,14237000.0,78.99,91.61285714285714,98.85,1.8648571428571432,4.83,W,1631.0,12.95,,,,0.0,,0.0,0.0,857.7285714285715,97.65142857142855,1.9371428571428573,2.1118571428571427,231,,3.5471512942852352,12
609,45.4982271,9.55623226,2021-04-02,108,18.0,18.0,,,15.321285714285713,11.84,,9.531714285714289,2.2315714285714288,5.543,E,0.172117313,0,99010.0,15828571.42857143,68.2,86.84714285714287,98.85,4.073571428571428,8.711,E,3609.0,41.75,,,,0.0,,0.0,0.0,870.0857142857143,97.07571428571428,1.9694285714285715,2.1732857142857145,231,,2.9444389791664403,13
609,45.4982271,9.55623226,2021-04-09,108,16.571428571428573,13.0,,,13.991,11.633571428571427,,8.355714285714287,1.587,3.75,E,0.532278,0,99647.14285714286,9610571.42857143,81.48,92.35285714285716,98.76,3.032,6.187,E,1800.0,11.4,,,,0.0,,0.0,0.0,882.3428571428573,96.54285714285712,2.0015714285714283,2.2345714285714284,231,,2.6390573296152584,14
609,45.4982271,9.55623226,2021-04-16,108,22.714285714285715,20.33333333333333,,,16.66142857142857,13.594285714285714,,9.76457142857143,1.403285714285714,3.273,NW,0.0432197,0,99285.71428571428,17918571.42857143,80.06,90.6,98.8,2.1615714285714285,5.182,NW,2116.0,14.23,,,,0.0,,0.0,0.0,894.3571428571428,95.98142857142857,2.028714285714286,2.294285714285714,231,,3.060270794691562,15
609,45.4982271,9.55623226,2021-04-23,108,28.142857142857142,23.0,,,11.113142857142858,9.869285714285713,,13.60142857142857,1.4955714285714288,2.772,E,0.1282829999999999,0,99027.14285714286,12038571.42857143,79.92,91.81857142857145,99.24,2.5004285714285714,4.726,E,1711.0,16.82,,,,0.0,,0.0,0.0,905.9714285714286,95.44857142857144,2.052,2.3528571428571428,231,,3.1780538303479458,16
609,45.4982271,9.55623226,2021-04-30,108,13.428571428571429,8.142857142857142,,,12.70257142857143,11.982833333333332,,13.510000000000002,1.7167142857142856,4.229,E,0.276949,0,98740.0,13854428.57142857,78.8,92.4114285714286,99.57,2.954571428571428,5.815,E,2387.0,16.19,,,,0.0,,0.0,0.0,917.0285714285716,94.94142857142856,2.075,2.4112857142857145,231,,2.2129729343043585,17
609,45.4982271,9.55623226,2021-05-07,108,14.142857142857142,9.166666666666666,,,13.92,13.172571428571429,,15.444285714285714,1.8548571428571432,4.434,E,0.49117949,0,98832.85714285714,15238428.57142857,76.86,91.29285714285712,98.99,3.302714285714285,7.814,E,2310.0,24.17,,,,0.0,,0.0,0.0,927.4285714285714,94.45,2.0982857142857148,2.47,231,,2.3191143949452564,18
609,45.4982271,9.55623226,2021-05-14,108,12.428571428571429,8.428571428571429,,,15.445714285714288,13.604285714285712,,14.657142857142858,1.4275714285714287,3.893,W,0.1126953,0,98648.57142857143,18575714.285714287,75.42,90.19571428571427,99.68,2.294571428571428,5.237,S,2559.0,13.92,,,,0.0,,0.0,0.0,937.0,94.04428571428572,2.129142857142857,2.529428571428572,231,,2.243744592971112,19
609,45.4982271,9.55623226,2021-05-21,108,14.714285714285714,10.428571428571429,,,14.757142857142854,13.707571428571429,,15.437142857142858,1.4038571428571431,3.461,W,0.3237619999999999,0,99141.42857142857,15291857.142857144,74.78,90.98857142857145,99.14,2.387571428571428,5.731,E,2524.0,17.31,,,,0.0,,0.0,0.0,945.5571428571428,93.63571428571429,2.176714285714286,2.591571428571428,231,,2.436116485618568,20
609,45.4982271,9.55623226,2021-05-28,108,19.0,14.142857142857142,,,13.787428571428572,13.21542857142857,,18.795714285714286,1.8045714285714285,3.53,E,0.01201031,0,99485.71428571428,17971428.57142857,78.24,88.16142857142857,98.5,3.105857142857143,6.446,E,1737.0,25.66,,,,0.0,,0.0,0.0,953.0142857142856,93.29857142857142,2.224857142857143,2.6535714285714285,231,,2.717528945056754,21
609,45.4982271,9.55623226,2021-06-04,108,15.714285714285714,12.714285714285714,,,18.24871428571429,16.653142857142857,,21.30857142857144,1.3374857142857142,3.4,NW,0.3192406419999999,0,99442.85714285714,19440000.0,76.64,89.61285714285715,98.88,2.137142857142857,5.696,NE,2463.0,17.63,,,,0.0,,0.0,0.0,959.1857142857142,93.01857142857143,2.273,2.715571428571429,231,,2.618438042412523,22
609,45.4982271,9.55623226,2021-06-11,108,20.666666666666668,19.285714285714285,,,16.214285714285715,15.300000000000002,,24.055714285714284,1.805714285714286,3.827,E,0.039446492,0,99318.57142857143,19315714.285714287,74.87,88.16285714285713,97.95,3.056142857142857,6.826,NE,2621.0,20.39,,,,0.0,,0.0,0.0,963.9285714285716,92.7942857142857,2.3195714285714284,2.776285714285714,231,,3.0099169085459474,23
609,45.4982271,9.55623226,2021-06-18,108,27.285714285714285,19.285714285714285,,,17.28142857142857,16.664285714285715,,25.132857142857144,1.6874285714285713,3.632,NW,0.0150371,0,98957.14285714286,19695714.285714287,72.08,85.76571428571428,98.17,2.7744285714285715,7.391,W,2712.0,19.13,,,,0.0,,0.0,0.0,967.0857142857142,92.65142857142858,2.3505714285714285,2.821571428571428,231,,3.0099169085459474,24
609,45.4982271,9.55623226,2021-06-25,108,18.428571428571427,14.714285714285714,,,15.536666666666669,15.49,,24.937142857142856,1.5787142857142855,4.708,W,0.02244662,0,98914.28571428572,20517142.85714286,70.69,84.03428571428572,95.7,2.717,7.854,NE,3685.0,19.89,,,,0.0,,0.0,0.0,968.5428571428572,92.58,2.3772857142857147,2.8625714285714285,231,,2.7545702167371027,25
609,45.4982271,9.55623226,2021-07-02,108,16.428571428571427,12.714285714285714,,,17.648333333333333,16.121666666666666,,23.050000000000004,1.4885714285714289,2.858,E,1.166071,0,98941.42857142857,16531428.57142857,76.0,90.35428571428572,98.61,2.393857142857143,6.086,NE,2259.0,18.06,,,,0.0,,0.0,0.0,968.7,92.58,2.403714285714286,2.9035714285714285,231,,2.618438042412523,26
