,IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_nox,AQ_no2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,log_pm25,Week
1790,STA.IT1771A,44.65061,10.90633,2019-06-07,34,31.142857142857142,14.714285714285714,22.77142857142857,17.199714285714286,22.72142857142857,1.4625714285714289,3.686,E,0.012824,0,100107.14285714286,21014285.71428572,75.42,90.26999999999998,98.53,3.1607142857142856,8.141,E,1919.0,30.4,10.043142857142858,3.4975714285714283,0.005876,102.77,3.090857142857143,51.947,9.739,136.15714285714287,30.73857142857143,2.178,2.7139999999999995,141,2.7545702167371027,23
1791,STA.IT1771A,44.65061,10.90633,2019-06-14,34,25.142857142857142,12.857142857142858,20.97571428571429,16.53,24.98857142857143,1.6339857142857144,4.583,NW,0.00821046,0,100072.85714285714,21612857.14285714,71.24,85.88000000000001,95.54,3.163,7.299,W,2514.0,17.05,10.468571428571428,4.059714285714285,0.0059635714285714,109.72,3.176285714285714,52.747,9.791,136.04285714285714,30.755714285714284,2.174857142857143,2.7112857142857143,141,2.6288008294480694,24
1792,STA.IT1771A,44.65061,10.90633,2019-06-21,34,23.285714285714285,13.285714285714286,23.44571428571428,18.821428571428573,26.251428571428573,1.3824285714285711,2.712,E,0.188251021,0,100428.57142857143,21490000.0,73.24,87.13857142857144,98.4,2.4522857142857144,6.416,SE,2199.0,19.33,10.814285714285717,4.611142857142858,0.0064205714285714,116.06,3.2620000000000005,53.532,9.841,135.92857142857142,30.76428571428572,2.151571428571428,2.6882857142857146,141,2.659260036932778,25
1793,STA.IT1771A,44.65061,10.90633,2019-06-28,34,25.571428571428573,12.571428571428571,17.321428571428573,13.14914285714286,28.357142857142858,1.6138571428571429,3.854,E,0.041496012,0,100300.0,21867142.85714286,71.97,85.15857142857145,97.07,2.9418571428571423,6.889,E,2225.0,22.9,10.97857142857143,4.877142857142857,0.0076928571428571,119.05,3.3381428571428566,54.142,9.868,135.8,30.770000000000003,2.1275714285714287,2.665,141,2.6079667425452278,26
1794,STA.IT1771A,44.65061,10.90633,2019-07-05,34,22.142857142857142,10.142857142857142,17.30857142857143,13.237428571428572,24.98,1.7081428571428574,3.862,NW,0.5102325,0,99872.85714285714,16707714.285714284,77.49,90.14714285714284,99.48,3.169714285714285,6.832,E,2320.0,23.95,10.882857142857144,4.784428571428571,0.0092451428571428,117.75,3.416428571428572,54.569,9.862,135.6,30.770000000000003,2.1035714285714286,2.641285714285714,141,2.4107986776342782,27
1795,STA.IT1771A,44.65061,10.90633,2019-07-12,34,15.428571428571429,8.285714285714286,20.56,15.597285714285716,22.415714285714284,1.4466428571428571,3.859,E,0.1644723,0,99858.57142857143,16959571.42857143,75.66,91.03857142857144,98.74,2.7545714285714284,7.552,E,1958.0,22.41,10.60142857142857,4.480857142857142,0.0109342857142857,113.63,3.499428571428571,54.897,9.834,135.2714285714286,30.76714285714285,2.079428571428571,2.618,141,2.228477120840324,28
1796,STA.IT1771A,44.65061,10.90633,2019-07-19,34,23.857142857142858,12.857142857142858,23.88142857142857,18.68428571428572,27.578571428571426,1.035314285714286,2.683,E,0.00774636,0,100414.28571428572,20972857.14285714,72.91,87.36571428571429,97.26,1.6382857142857143,5.082,E,2039.0,20.17,10.242857142857144,4.054714285714287,0.0138514285714285,108.14,3.564,55.104,9.804000000000002,134.8714285714286,30.76,2.053,2.5947142857142858,141,2.6288008294480694,29
1797,STA.IT1771A,44.65061,10.90633,2019-07-26,34,17.4,7.25,19.55857142857144,14.88757142857143,25.365714285714287,1.4674285714285713,3.434,NW,0.9715870999999998,0,99461.42857142857,16808857.14285714,74.57,91.22714285714288,99.86,2.504142857142857,7.454,NW,2662.0,22.88,9.925428571428572,3.589857142857143,0.0191442857142857,102.66,3.585714285714286,55.159,9.794,134.35714285714286,30.76,2.0264285714285712,2.571285714285714,141,2.110213200346589,30
1798,STA.IT1771A,44.65061,10.90633,2019-08-02,34,18.166666666666668,9.333333333333334,15.869571428571428,11.489,24.694285714285712,1.266357142857143,2.638,SW,0.09705079,0,99934.28571428572,18240000.0,79.76,91.30857142857144,98.09,2.366857142857143,5.123,E,1858.0,38.8,9.727142857142857,3.120285714285714,0.02776,98.03,3.538571428571428,54.967,9.816,133.7857142857143,30.75857142857143,1.9997142857142856,2.548,141,2.3353749158170367,31
1799,STA.IT1771A,44.65061,10.90633,2019-08-09,34,20.714285714285715,10.285714285714286,14.588,10.341166666666668,25.83714285714285,1.3213285714285712,3.025,E,0.24068787,0,100027.14285714286,17634285.714285713,77.09,90.00000000000001,99.39,2.424,5.924,E,2343.0,31.23,9.608428571428572,2.565857142857143,0.0394614285714285,93.38,3.417857142857144,54.393,9.855999999999998,133.1,30.75,1.973285714285714,2.524714285714286,141,2.423537703411708,32
1800,STA.IT1771A,44.65061,10.90633,2019-08-16,34,19.285714285714285,10.142857142857142,13.145142857142856,9.477428571428572,24.722857142857144,1.2594285714285711,3.094,E,0.06540801,0,100357.14285714286,17270000.0,77.2,90.10285714285716,97.97,2.399714285714285,6.469,E,1825.0,27.75,9.518857142857144,1.9768571428571424,0.0534,88.69,3.259428571428572,53.702,9.918,132.4,30.74857142857143,1.95,2.504714285714285,141,2.4107986776342782,33
1801,STA.IT1771A,44.65061,10.90633,2019-08-23,34,26.857142857142858,16.285714285714285,21.61428571428572,15.988571428571428,23.984285714285715,1.0484857142857142,1.916,NW,0.3000897999999999,0,100514.28571428572,14820285.714285716,82.72,93.00714285714284,98.82,2.0015714285714283,4.467,E,1619.0,20.64,9.418285714285714,1.435142857142857,0.0687342857142857,84.32,3.1035714285714286,53.234,10.008,131.65714285714284,30.74,1.929,2.4872857142857145,141,2.849880396541428,34
1802,STA.IT1771A,44.65061,10.90633,2019-08-30,34,25.142857142857142,14.142857142857142,21.26142857142857,15.584285714285716,23.055714285714284,1.3237142857142856,3.401,NW,0.17387,0,100247.14285714286,15422857.142857144,81.34,91.32714285714285,99.12,2.411714285714286,6.344,SE,1702.0,18.09,9.269285714285717,1.0158714285714283,0.0848685714285714,80.53,2.987571428571429,53.298,10.139,130.84285714285713,30.73428571428571,1.9077142857142857,2.4697142857142858,141,2.717528945056754,35
1803,STA.IT1771A,44.65061,10.90633,2019-09-06,34,19.285714285714285,10.571428571428571,26.14857142857144,18.30142857142857,18.43,1.373,2.984,NW,0.7856343650000001,0,100385.71428571428,13106000.0,79.89,93.34714285714288,99.58,2.4938571428571428,5.897,W,1935.0,16.13,9.075142857142858,0.6930857142857143,0.10372,77.14000000000001,2.9115714285714285,53.833,10.31,130.00000000000003,30.728571428571428,1.886,2.4522857142857144,141,2.448539005617125,36
1804,STA.IT1771A,44.65061,10.90633,2019-09-13,34,25.857142857142858,12.142857142857142,31.01,22.72714285714286,20.827142857142857,1.3539428571428571,3.648,N,0.284211709,0,100800.0,13107571.42857143,83.4,92.89714285714284,99.19,2.628285714285714,8.24,NE,1310.0,15.87,8.853142857142856,0.4429142857142856,0.1246428571428571,74.1,2.8559999999999994,54.716,10.523,129.14285714285714,30.715714285714288,1.862142857142857,2.432428571428571,141,2.575878427993727,37
1805,STA.IT1771A,44.65061,10.90633,2019-09-20,34,28.0,14.714285714285714,36.71428571428572,19.56,16.808571428571426,1.2823428571428572,3.336,E,0.221543,0,100355.71428571428,10161428.57142857,83.69,93.96000000000002,99.91,2.704571428571429,6.108,E,1339.0,26.98,8.605285714285715,0.2997571428571429,0.1442,71.74000000000001,2.8144285714285715,56.008,10.793,128.25714285714284,30.708571428571428,1.828,2.404285714285714,141,2.7545702167371027,38
